Name;Link;Inhalt
Kräuter Frischkäse (selbst gemacht);https://www.kochenfuerviele.de/fruehstueck-ideen/Kraeuter-Frischkaese-selbst-gemacht.html;"Kochen für Viele - Kochrezepte und Tipps   Kräuter Frischkäse (selbst gemacht)    Kategorie: Frühstück    Aufwand/Kosten: simpel/günstig    Personenzahl: 12    Zutaten:   500g Quark  200g Sahne  1 Becher Schmand  Salz und Pfeffer  1 Packung Kräuter (eingefroren 8-Kräuter-Mischung), möglich sind auch frische Kräuter nach Wahl  1-2 Zehen Knoblauch      Zubereitung       Die Zutaten bereit stellen. Anschließend den Quark und den Schmand in eine große Schüssel geben. Die Kräuter zufügen und mit dem Salz zusammen unterrühren. Die Knoblauchzehen schälen und anschließend pressen. Knoblauch mit in die Schüssel geben. Alles mit dem Schneebesen oder Mixer durchrühren. Die Sahne steif aufschlagen und unterheben. Den Frischkäse über Nacht stehen und durchziehen lassen. Wenn sich am nächsten Tag Wasser in der Schüssel abgesetzt hat, wird die Quarkmasse einfach auf ein Geschirrtuch gegeben und ausgedrückt. So kann man das Wasser ausdrücken und der Frischkäse verwässert nicht. Der Frischkäse schmeckt zu frischem Brot oder Brötchen, der Rest aber ebenso gut zu Pellkartoffeln.     [ © Das Copyright liegt bei www.kochenfuerviele.de | Kochen für Viele - Kochrezepte und Tipps für alle, die für große Gruppen kochen müssen] nach oben | Home | Sitemap | Impressum & Kontakt ©: www.kochenfuerviele.de      Startseite Frühstück Mittagessen Abendessen Dessert & Salate Grillen & Lagerfeuer Weihnachtsbäckerei Buffetvorschläge Cocktails Tipps & Know How Sitemap Rezepte Impressum & Kontakt Links Kochrezepte Kochbücher  © www.kochenfuerviele.de         $(document).ready(function(){ 	$('#menu').slicknav(); });"
French Toast;https://www.kochenfuerviele.de/fruehstueck-ideen/French-Toast.html;"Kochen für Viele - Kochrezepte und Tipps   French Toast    Kategorie: Frühstück    Aufwand/Kosten: simpel/günstig    Personenzahl: 10    Zutaten:   4 Eier  1 Tasse Milch  ½ TL Vanille-Extrakt oder 2 Tüten Vanille-Zucker  ¼ TL Zimt  10 Scheiben helles Toastbrot  2 EL Butter oder Margarine  Ahornsirup      Zubereitung       Eier, Milch, Vanille, Zimt in einer flachen Schüssel miteinander verquirlen. Hier kann auch ein tiefer Teller genommen werden, wenn es passt. Den Toast mit beiden Seiten in die Masse tauchen. Wer mag, kann die Scheiben auch etwas ziehen lassen. In einer beschichteten Pfanne wird die Butter zerlassen. Anschließend werden die Toastbrotscheiben von beiden Seiten für etwa 2 bis 3 Minuten gebacken. Hier ist es besser, darauf zu achten, dass man sie nicht länger bäckt als bis sie goldbraun sind. Sie sollen nicht verbrennen. Anschließend werden die Brote mit Ahornsirup serviert. Je nach Appetit sollte man pro Person mehr als 1 Scheibe Brot rechnen. Wer mag, kann beim Servieren zudem etwas Schokolade oder Kuvertüre schmelzen und die Toastbrotscheiben damit verzieren.     [ © Das Copyright liegt bei www.kochenfuerviele.de | Kochen für Viele - Kochrezepte und Tipps für alle, die für große Gruppen kochen müssen] nach oben | Home | Sitemap | Impressum & Kontakt ©: www.kochenfuerviele.de      Startseite Frühstück Mittagessen Abendessen Dessert & Salate Grillen & Lagerfeuer Weihnachtsbäckerei Buffetvorschläge Cocktails Tipps & Know How Sitemap Rezepte Impressum & Kontakt Links Kochrezepte Kochbücher  © www.kochenfuerviele.de         $(document).ready(function(){ 	$('#menu').slicknav(); });"
Käse-Schinken-Hörnchen;https://www.kochenfuerviele.de/fruehstueck-ideen/Kaese-Schinken-Hoernchen.html;"Kochen für Viele - Kochrezepte und Tipps   Käse-Schinken-Hörnchen    Kategorie: Frühstück    Aufwand/Kosten: simpel/günstig    Personenzahl: 10    Zutaten:   500g Mehl  500g Quark  500g Butter  etwas Salz  500g gekochter Schinken  300g geriebener Käse  2 Eier      Zubereitung       Einen Teig aus Mehl, Butter, Quark und Salz bereiten. Den Teig anschließend in Klarsichtfolie wickeln und für 24 Stunden in den Kühlschrank legen. Den gekochten Schinken in kleine Würfel schneiden und mit dem geriebenen Käse in einer Schüssel mischen. Den Teig in 4 Teile aufteilen. Mit dem Nudelholz ausrollen. Dafür die Arbeitsfläche mit etwas Mehl bestreuen. Den Teig darauf geben und auf Tellergröße (Durchmesser etwa 26-28 cm) ausrollen. Anschließend mit dem Teigrad oder dem Pizzaschneider in 8 Stücke schneiden. Die Schinken-Käse-Mischung auf der breiten Seite verteilen und die Teigstücke aufrollen. Ein Backblech mit Backpapier auslegen und die fertigen Hörnchen darauf geben. Die Eier mit etwas Milch vermischen und die Hörnchen damit bestreichen. Anschließend im vorgeheizten Backofen bei 180°C etwa 20 Minuten lang backen. Wer mag, kann die Hörnchen mit Kümmel oder Käse bestreuen.     [ © Das Copyright liegt bei www.kochenfuerviele.de | Kochen für Viele - Kochrezepte und Tipps für alle, die für große Gruppen kochen müssen] nach oben | Home | Sitemap | Impressum & Kontakt ©: www.kochenfuerviele.de      Startseite Frühstück Mittagessen Abendessen Dessert & Salate Grillen & Lagerfeuer Weihnachtsbäckerei Buffetvorschläge Cocktails Tipps & Know How Sitemap Rezepte Impressum & Kontakt Links Kochrezepte Kochbücher  © www.kochenfuerviele.de         $(document).ready(function(){ 	$('#menu').slicknav(); });"
Bauernfrühstück;https://www.kochenfuerviele.de/fruehstueck-ideen/Bauernfruehstueck.html;"Kochen für Viele - Kochrezepte und Tipps   Bauernfrühstück    Kategorie: Frühstück    Aufwand/Kosten: simpel/günstig    Personenzahl: 12    Zutaten:   30 Pellkartoffeln  24 Eier  24 Scheiben Salami oder Schinken  6 Zwiebeln  Knoblauch  Salz  Pfeffer  Paprikapulver  Fett für die Pfanne      Zubereitung       Die Pellkartoffeln kocht man am besten bereits am Abend vorher und pellt sie nach dem Abkühlen. Morgens werden sie dann in Scheiben geschnitten und in einer Schüssel auf Seite gestellt. Zwiebeln schälen und halbieren. Anschließend in dünne Scheiben schneiden. Die Knoblauchzehen schälen und ebenfalls in dünne Scheiben schneiden. Hat man alles soweit vorbereitet, wird die Pfanne auf den Herd gestellt und das Fett darin zum Schmelzen gebracht. Dann gibt man zuerst die Kartoffeln in die Pfanne und lässt sie von beiden Seiten etwas Farbe annehmen. Anschließend folgen Zwiebeln und Knoblauch und später Schinken und/oder Salami. Die Eier werden dann in einer Schüssel verquirlt und darüber gegeben. Wenn das Ei gestockt ist, kann das Bauernfrühstück verzehrt werden. Es lässt sich mit Zucchini, Tomaten und Paprika aufpeppen und kann auch ohne Wurst gemacht werden.     [ © Das Copyright liegt bei www.kochenfuerviele.de | Kochen für Viele - Kochrezepte und Tipps für alle, die für große Gruppen kochen müssen] nach oben | Home | Sitemap | Impressum & Kontakt ©: www.kochenfuerviele.de      Startseite Frühstück Mittagessen Abendessen Dessert & Salate Grillen & Lagerfeuer Weihnachtsbäckerei Buffetvorschläge Cocktails Tipps & Know How Sitemap Rezepte Impressum & Kontakt Links Kochrezepte Kochbücher  © www.kochenfuerviele.de         $(document).ready(function(){ 	$('#menu').slicknav(); });"
Rührei zum Aufwachen;https://www.kochenfuerviele.de/fruehstueck-ideen/Ruehrei-zum-Aufwachen.html;"Kochen für Viele - Kochrezepte und Tipps   Rührei zum Aufwachen    Kategorie: Frühstück    Aufwand/Kosten: simpel/günstig    Personenzahl: 12    Zutaten:   6 große Zwiebeln  24 Eier  200g Salami  Fett für die Pfanne  6 Scheiben herzhafter Käse (z.B. Appenzeller)  Salz  Pfeffer  Paprikapulver      Zubereitung       Die Zwiebeln schälen und halbieren. Anschließend in Scheiben schneiden. Wer mag, kann sie auch würfeln. Die Salami kauft man am besten am Stück. Es ist jedoch auch möglich, sie in Scheiben zu kaufen. Je nach Größe der Scheiben muss sie eventuell gewürfelt werden. Die Bratpfanne auf den Herd stellen, anwärmen und das Fett darin schmelzen. Die Zwiebeln werden in der Pfanne glasig angedünstet. Ist dies soweit geschehen, werden die Salamischeiben darüber gegeben. Jetzt muss man genau auf die Pfanne achten damit die Zwiebeln nicht verbrennen. Die Eier werden in eine Schüssel geschlagen und dort verquirlt. Dabei gibt man bereits Salz, Paprikapulver und Pfeffer dazu. Mit dem würzen sollte man vorsichtig sein, da die Salami schon herzhaft ist. Das Ei gibt man ebenfalls in die Pfanne und lässt es so lange garen bis fest ist. Dabei gelegentlich umrühren. Kurz vor dem Servieren gibt man den Käse auf das Ei. Dazu schmeckt Schwarz- oder Toastbrot. Nach Lust und Laune lässt sich das Ei mit Tomate oder Paprikastreifen aufpeppen.     [ © Das Copyright liegt bei www.kochenfuerviele.de | Kochen für Viele - Kochrezepte und Tipps für alle, die für große Gruppen kochen müssen] nach oben | Home | Sitemap | Impressum & Kontakt ©: www.kochenfuerviele.de      Startseite Frühstück Mittagessen Abendessen Dessert & Salate Grillen & Lagerfeuer Weihnachtsbäckerei Buffetvorschläge Cocktails Tipps & Know How Sitemap Rezepte Impressum & Kontakt Links Kochrezepte Kochbücher  © www.kochenfuerviele.de         $(document).ready(function(){ 	$('#menu').slicknav(); });"
Frühstücks-Powerdrink;https://www.kochenfuerviele.de/fruehstueck-ideen/Fruehstuecks-Powerdrink.html;"Kochen für Viele - Kochrezepte und Tipps   Frühstücks-Powerdrink    Kategorie: Frühstück    Aufwand/Kosten: simpel/günstig    Personenzahl: 12    Zutaten:   3 Bananen  3 Orangen  3 Äpfel  2 Zitronen  75 g Zucker  150 g Haferflocken  2.25 Liter Orangensaft  3 Möhren      Zubereitung       Obst und Möhren gut schälen, gegebenenfalls abwaschen und in grobe Stücke schneiden. Die Zitronen halbieren und auspressen. Dabei darauf achten, dass keine Kerne in den Saft fallen. Anschließend alles in einen Mixtopf geben und mit dem Stabmixer pürieren. Den Zucker und den Zitronensaft hinzufügen und mit dem Stabmixer unterrühren. Die Haferflocken hinzu fügen und nochmals unterrühren. Anschließend unter ständigem Rühren langsam den Orangensaft aufgießen. Den Drink kurz kühl stellen und in der Zwischenzeit Orangen waschen und in dünne Scheiben schneiden. Diese sollen als Deko für die Gläser dienen. Den Saft in 12 Gläser füllen oder in einem Krug auf den Frühstückstisch stellen. Beim Zucker darauf achten, dass sehr reife Bananen viel mehr Zucker enthalten. Der Drink sollte nicht zu süß werden.     [ © Das Copyright liegt bei www.kochenfuerviele.de | Kochen für Viele - Kochrezepte und Tipps für alle, die für große Gruppen kochen müssen] nach oben | Home | Sitemap | Impressum & Kontakt ©: www.kochenfuerviele.de      Startseite Frühstück Mittagessen Abendessen Dessert & Salate Grillen & Lagerfeuer Weihnachtsbäckerei Buffetvorschläge Cocktails Tipps & Know How Sitemap Rezepte Impressum & Kontakt Links Kochrezepte Kochbücher  © www.kochenfuerviele.de         $(document).ready(function(){ 	$('#menu').slicknav(); });"
Apfelsmoothie;https://www.kochenfuerviele.de/fruehstueck-ideen/Apfelsmoothie.html;"Kochen für Viele - Kochrezepte und Tipps   Apfelsmoothie    Kategorie: Frühstück    Aufwand/Kosten: simpel/günstig    Personenzahl: 12    Zutaten:   1000g Apfelkompott  150ml naturtrüber Apfelsaft  1500g Kefir  90ml Zitronensaft  9 EL brauner Zucker  3 gestr. TL Zimt  60ml Haselnusssirup  Zitronen  Zitronenmelisse      Zubereitung       Das Apfelkompott pürieren und mit dem naturtrüben Apfelsaft auffüllen. Anschließend gibt man Zucker, Sirup und Zimt dazu. Die Schale von der Zitrone wird vorsichtig abgerieben. Sollte man keine Biozitronen bekommen können, ist es wichtig, die Früchte sehr heiß abzuwaschen. Gegebenenfalls nimmt man zusätzlich eine Nagelbürste um sie richtig abzuschrubben. Das Schälen kann mit einem Messer geschehen. Möglich ist es außerdem, mit einer Gabel Zesten zu reißen. Anschließend gibt man die Zitronenschale mit dem Kefir zu dem pürierten Apfelkompott und mixt nochmals alles durch. Später wird der Smoothie in 12 Gläser gefüllt und mit der Zitronenmelisse garniert. Smoothies helfen, etwas für die Gesundheit zu tun und sind außerdem ein super Start in den Tag. Man ist schnell wach und hat sofort die nötige Energie.     [ © Das Copyright liegt bei www.kochenfuerviele.de | Kochen für Viele - Kochrezepte und Tipps für alle, die für große Gruppen kochen müssen] nach oben | Home | Sitemap | Impressum & Kontakt ©: www.kochenfuerviele.de      Startseite Frühstück Mittagessen Abendessen Dessert & Salate Grillen & Lagerfeuer Weihnachtsbäckerei Buffetvorschläge Cocktails Tipps & Know How Sitemap Rezepte Impressum & Kontakt Links Kochrezepte Kochbücher  © www.kochenfuerviele.de         $(document).ready(function(){ 	$('#menu').slicknav(); });"
Buttermilch-Quark-Brot;https://www.kochenfuerviele.de/fruehstueck-ideen/Buttermilch-Quark-Brot.html;"Kochen für Viele - Kochrezepte und Tipps   Buttermilch-Quark-Brot    Kategorie: Frühstück    Aufwand/Kosten: simpel/günstig    Personenzahl: 10    Zutaten:   250g Magerquark  10 EL Buttermilch  9 EL Öl  75g Zucker  1 Pck. Vanillezucker  Schale ½ Zitrone  1 Prise Salz  450g Mehl  1 ½ Pck. Backpulver  30g Mandelblättchen  1 Eigelb  Mehl für die Arbeitsfläche      Zubereitung       Quark, Öl, 9 EL Buttermilch, Zucker, Vanillezucker, Salz und Zitrone miteinander verrühren. Mehl und Backpulver mischen und auf die Masse sieben. Mit den Händen oder einem Handrührgerät unterrühren. Die Arbeitsfläche mit etwas Mehl bestreuen und den Teig vierteln. Den Teig zu etwa 40cm langen Strängen rollen. Die Teigstränge zu einem Zopf flechten. Dafür die jeweils äußeren Stränge über die mittleren legen. Wiederholen, bis der Teig verflochten ist. Die Teigenden fest andrücken und nach unten klappen. Ein Backblech mit Backpapier belegen und den Zopf darauf legen. Den Zopf bei 200°C 15 bis 20 Minuten backen. Eigelb mit Salz und 1 EL Buttermilch verrühren. Den Zopf einstreichen und mit Mandeln bestreuen. Abermals etwa 15 Minuten lang backen. Bei Allergiegefahr die Mandeln einfach weglassen.     [ © Das Copyright liegt bei www.kochenfuerviele.de | Kochen für Viele - Kochrezepte und Tipps für alle, die für große Gruppen kochen müssen] nach oben | Home | Sitemap | Impressum & Kontakt ©: www.kochenfuerviele.de      Startseite Frühstück Mittagessen Abendessen Dessert & Salate Grillen & Lagerfeuer Weihnachtsbäckerei Buffetvorschläge Cocktails Tipps & Know How Sitemap Rezepte Impressum & Kontakt Links Kochrezepte Kochbücher  © www.kochenfuerviele.de         $(document).ready(function(){ 	$('#menu').slicknav(); });"
Frühstücksbrötchen;https://www.kochenfuerviele.de/fruehstueck-ideen/Fruehstuecksbroetchen.html;"Kochen für Viele - Kochrezepte und Tipps   Frühstücksbrötchen    Kategorie: Frühstück    Aufwand/Kosten: simpel/günstig    Personenzahl: 10    Zutaten:   300g Weizenmehl (1050)  270ml lauwarmes Wasser  20g frische Hefe  700g Weizenmehl (550)  280ml Wasser  40g Butter oder Margarine  20g Salz  1 TL Honig      Zubereitung       Aus 300g Weizenmehl (1050), 270ml lauwarmem Wasser und der Hefe einen Vorteig bereiten. Dafür die Hefe im Wasser auflösen, später ins Mehl geben, mit der Hand oder einem Löffel zu einem Teig verarbeiten. Den Vorteig zugedeckt 30 Minuten am warmen Ort gehen lassen. Dann die restlichen Zutaten zum Vorteig hinzufügen und zu einem gebundenen Teig verarbeiten. Den Teig nochmals 20 Minuten stehen lassen. Später in 20 Teile aufteilen und zu Brötchen formen und nochmals gehen lassen. Im vorgeheizten Backofen bei 250°C etwa 10 Minuten anbacken. Dabei immer wieder mit der Blumenspritze Wasser in den heißen Ofen sprühen. Sobald die Kruste braun genug ist, wird die Temperatur auf 200°C reduziert. Die Brötchen werden dann noch 20 Minuten fertig gebacken. Wer mag, kann Mohn, Sesam, Kürbis- oder Sonnenblumenkerne auf die Brötchen geben.     [ © Das Copyright liegt bei www.kochenfuerviele.de | Kochen für Viele - Kochrezepte und Tipps für alle, die für große Gruppen kochen müssen] nach oben | Home | Sitemap | Impressum & Kontakt ©: www.kochenfuerviele.de      Startseite Frühstück Mittagessen Abendessen Dessert & Salate Grillen & Lagerfeuer Weihnachtsbäckerei Buffetvorschläge Cocktails Tipps & Know How Sitemap Rezepte Impressum & Kontakt Links Kochrezepte Kochbücher  © www.kochenfuerviele.de         $(document).ready(function(){ 	$('#menu').slicknav(); });"
Apfelpfannkuchen;https://www.kochenfuerviele.de/fruehstueck-ideen/Apfelpfannkuchen.html;"Kochen für Viele - Kochrezepte und Tipps   Apfelpfannkuchen    Kategorie: Frühstück    Aufwand/Kosten: simpel/günstig    Personenzahl: 10    Zutaten:   625g Mehl  750ml Milch  10 Eigelb  50g frische Hefe  1.5 TL Zimt  7.5 EL Zucker  10 Eiweiß  10 Äpfel  Butter zum Backen      Zubereitung       Einen Teig aus Mehl, Milch, Eigelb, zerbröckelte Hefe, 2 EL Zucker und dem Zimt einen Teig rühren. Wer mag, kann die Hefe in die Milch bröseln und darin auflösen. Dabei jedoch darauf achten, dass die Milch lauwarm und nicht heiß ist. Den Vorteig etwa 30 Minuten gehen lassen. Sobald der Vorteig gegangen ist, wird das Eiweiß mit 1 EL Zucker steifgeschlagen und unter den Teig gehoben. Die Äpfel schälen und entkernen. Anschließend quer in Scheiben schneiden. In einer beschichteten Pfanne Fett oder Butter erhitzen. 2 EL Teig in die heiße Butter geben und mit 1 bis 2 Apfelscheiben belegen. Sobald die Pfannkuchen von der Unterseite her braun sind, wenden. Mit Zucker und Zimt bestreuen und zum Frühstück servieren.     [ © Das Copyright liegt bei www.kochenfuerviele.de | Kochen für Viele - Kochrezepte und Tipps für alle, die für große Gruppen kochen müssen] nach oben | Home | Sitemap | Impressum & Kontakt ©: www.kochenfuerviele.de      Startseite Frühstück Mittagessen Abendessen Dessert & Salate Grillen & Lagerfeuer Weihnachtsbäckerei Buffetvorschläge Cocktails Tipps & Know How Sitemap Rezepte Impressum & Kontakt Links Kochrezepte Kochbücher  © www.kochenfuerviele.de         $(document).ready(function(){ 	$('#menu').slicknav(); });"
